Serial Number,Zone_ID,ID_Campagne_Vaccination,Region,District,Aire_de_sante,Nom_du_site,ID_Site,date_debut_enregistrement,GPS_Lat,GPS_Long,Trajet_Km,Niveau_accessibilite,Moyen_transport,Immatriculation_vehicule,Carte_grise,Nom_chauffeur,Permis_conduire,Statut_site,ID_Superviseur,Nom_Superviseur,ID_Agent_Sante,Nom_Agent_Sante,Profession_Agent,Fonction_Agent,Experience_Vaccination,Annees_Experience,Formation_Specifique,Approbation_Formation_Superviseur,ID_Materiel,Nom_materiel,Type_materiel,Stock_Depart,Stock_transporte,Materiel_Fonctionnel,Nom_Demandeur,Temperature_Conservation,Date_Transport,Lieu_Depart,Lieu_Arrivee,Date_Arrivee,Nom_Receveur,Stock_Restant,Rupture_Stock,Date_fin_enregistrement
11,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 1,LIT-BEPA-01,2025-06-09,3.856747,9.721922,46,Difficile,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,920,Biya Rose,Relais communautaire,Mobilisateur,Oui,8,Rougeole,Oui,3,Kit seringues,Consumable,128,80,Oui,Tchinda Jules,N/A,2025-06-08,Depot Central Douala,CSI Bepanda 1,2025-06-10,Biya Rose,64,Non,2025-08-04
12,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 1,LIT-BEPA-01,2025-06-09,3.856747,9.721922,46,Difficile,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,920,Biya Rose,Relais communautaire,Mobilisateur,Oui,8,Rougeole,Oui,4,Carnets,Papeterie,190,55,Non,Tchinda Jules,N/A,2025-06-07,Depot Central Douala,CSI Bepanda 1,2025-06-09,Biya Rose,36,Non,2025-08-04
13,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 2,LIT-BEPA-02,2024-12-16,4.078192,9.749879,43,Difficile,Piéton,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,322,Mendomo Serge,Infirmier,Vaccinateur,Non,0,Rubéole,Non,1,Glacière,Froid,112,97,Non,Tchinda Jules,4.4,2024-12-15,Depot Central Douala,CSI Bepanda 2,2024-12-17,Mendomo Serge,80,Non,2025-02-07
14,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 2,LIT-BEPA-02,2024-12-16,4.078192,9.749879,43,Difficile,Piéton,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,322,Mendomo Serge,Infirmier,Vaccinateur,Non,0,Rubéole,Non,2,Thermos,Froid,155,51,Oui,Tchinda Jules,2.6,2024-12-14,Depot Central Douala,CSI Bepanda 2,2024-12-15,Mendomo Serge,50,Non,2025-02-07
15,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 2,LIT-BEPA-02,2024-12-16,4.078192,9.749879,43,Difficile,Piéton,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,322,Mendomo Serge,Infirmier,Vaccinateur,Non,0,Rubéole,Non,3,Kit seringues,Consumable,132,60,Non,Tchinda Jules,N/A,2024-12-13,Depot Central Douala,CSI Bepanda 2,2024-12-14,Mendomo Serge,16,Non,2025-02-07
16,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 2,LIT-BEPA-02,2024-12-16,4.078192,9.749879,43,Difficile,Piéton,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,322,Mendomo Serge,Infirmier,Vaccinateur,Non,0,Rubéole,Non,4,Carnets,Papeterie,129,43,Non,Tchinda Jules,N/A,2024-12-14,Depot Central Douala,CSI Bepanda 2,2024-12-15,Mendomo Serge,29,Non,2025-02-07
17,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 2,LIT-BEPA-02,2025-06-05,4.078192,9.749879,43,Difficile,Piéton,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,161,Nkongho Samuel,Aide-soignant,Enregistreur,Oui,5,Rougeole,Non,1,Glacière,Froid,134,78,Non,Tchinda Jules,2.6,2025-06-02,Depot Central Douala,CSI Bepanda 2,2025-06-04,Nkongho Samuel,76,Non,2025-07-26
18,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 2,LIT-BEPA-02,2025-06-05,4.078192,9.749879,43,Difficile,Piéton,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,161,Nkongho Samuel,Aide-soignant,Enregistreur,Oui,5,Rougeole,Non,2,Thermos,Froid,118,19,Oui,Tchinda Jules,6.2,2025-06-03,Depot Central Douala,CSI Bepanda 2,2025-06-04,Nkongho Samuel,5,Non,2025-07-26
19,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 2,LIT-BEPA-02,2025-06-05,4.078192,9.749879,43,Difficile,Piéton,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,161,Nkongho Samuel,Aide-soignant,Enregistreur,Oui,5,Rougeole,Non,3,Kit seringues,Consumable,52,49,Oui,Tchinda Jules,N/A,2025-06-04,Depot Central Douala,CSI Bepanda 2,2025-06-05,Nkongho Samuel,45,Non,2025-07-26
20,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 2,LIT-BEPA-02,2025-06-05,4.078192,9.749879,43,Difficile,Piéton,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,161,Nkongho Samuel,Aide-soignant,Enregistreur,Oui,5,Rougeole,Non,4,Carnets,Papeterie,168,95,Oui,Tchinda Jules,N/A,2025-06-04,Depot Central Douala,CSI Bepanda 2,2025-06-05,Nkongho Samuel,11,Non,2025-07-26
21,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 2,LIT-BEPA-02,2025-06-28,4.078192,9.749879,43,Difficile,Piéton,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,411,Abena Serge,Relais communautaire,Mobilisateur,Oui,3,Rougeole,Oui,1,Glacière,Froid,94,36,Oui,Tchinda Jules,2.9,2025-06-25,Depot Central Douala,CSI Bepanda 2,2025-06-26,Abena Serge,13,Non,2025-08-18
22,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 2,LIT-BEPA-02,2025-06-28,4.078192,9.749879,43,Difficile,Piéton,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,411,Abena Serge,Relais communautaire,Mobilisateur,Oui,3,Rougeole,Oui,2,Thermos,Froid,141,62,Non,Tchinda Jules,6.8,2025-06-27,Depot Central Douala,CSI Bepanda 2,2025-06-28,Abena Serge,53,Non,2025-08-18
23,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 2,LIT-BEPA-02,2025-06-28,4.078192,9.749879,43,Difficile,Piéton,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,411,Abena Serge,Relais communautaire,Mobilisateur,Oui,3,Rougeole,Oui,3,Kit seringues,Consumable,160,21,Oui,Tchinda Jules,N/A,2025-06-27,Depot Central Douala,CSI Bepanda 2,2025-06-29,Abena Serge,9,Non,2025-08-18
24,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 2,LIT-BEPA-02,2025-06-28,4.078192,9.749879,43,Difficile,Piéton,N/A,N/A,N/A,N/A,Temporaire,1,Tchinda Jules,411,Abena Serge,Relais communautaire,Mobilisateur,Oui,3,Rougeole,Oui,4,Carnets,Papeterie,172,119,Non,Tchinda Jules,N/A,2025-06-25,Depot Central Douala,CSI Bepanda 2,2025-06-27,Abena Serge,13,Non,2025-08-18
25,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bonabéri,HD Bonabéri,LIT-BONA-01,2024-12-26,4.004303,9.721229,7,Moyen,Moto,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,788,Nguimdo Sandrine,Médecin,Vaccinateur,Oui,2,Rubéole,Oui,1,Glacière,Froid,144,122,Non,Tchinda Jules,5.9,2024-12-25,Depot Central Douala,HD Bonabéri,2024-12-26,Nguimdo Sandrine,15,Non,2025-02-28
26,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bonabéri,HD Bonabéri,LIT-BONA-01,2024-12-26,4.004303,9.721229,7,Moyen,Moto,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,788,Nguimdo Sandrine,Médecin,Vaccinateur,Oui,2,Rubéole,Oui,2,Thermos,Froid,161,36,Oui,Tchinda Jules,6.6,2024-12-23,Depot Central Douala,HD Bonabéri,2024-12-24,Nguimdo Sandrine,13,Non,2025-02-28
27,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bonabéri,HD Bonabéri,LIT-BONA-01,2024-12-26,4.004303,9.721229,7,Moyen,Moto,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,788,Nguimdo Sandrine,Médecin,Vaccinateur,Oui,2,Rubéole,Oui,3,Kit seringues,Consumable,153,61,Oui,Tchinda Jules,N/A,2024-12-25,Depot Central Douala,HD Bonabéri,2024-12-26,Nguimdo Sandrine,55,Non,2025-02-28
28,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bonabéri,HD Bonabéri,LIT-BONA-01,2024-12-26,4.004303,9.721229,7,Moyen,Moto,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,788,Nguimdo Sandrine,Médecin,Vaccinateur,Oui,2,Rubéole,Oui,4,Carnets,Papeterie,133,99,Oui,Tchinda Jules,N/A,2024-12-23,Depot Central Douala,HD Bonabéri,2024-12-25,Nguimdo Sandrine,4,Non,2025-02-28
29,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bonabéri,HD Bonabéri,LIT-BONA-01,2024-12-16,4.004303,9.721229,7,Moyen,Moto,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,208,Nguimdo Jean,Aide-soignant,Enregistreur,Oui,2,Rubéole,Oui,1,Glacière,Froid,182,72,Oui,Tchinda Jules,6.2,2024-12-13,Depot Central Douala,HD Bonabéri,2024-12-14,Nguimdo Jean,4,Non,2025-02-13
30,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bonabéri,HD Bonabéri,LIT-BONA-01,2024-12-16,4.004303,9.721229,7,Moyen,Moto,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,208,Nguimdo Jean,Aide-soignant,Enregistreur,Oui,2,Rubéole,Oui,2,Thermos,Froid,98,31,Non,Tchinda Jules,3.8,2024-12-13,Depot Central Douala,HD Bonabéri,2024-12-15,Nguimdo Jean,5,Non,2025-02-13
31,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bonabéri,HD Bonabéri,LIT-BONA-01,2024-12-16,4.004303,9.721229,7,Moyen,Moto,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,208,Nguimdo Jean,Aide-soignant,Enregistreur,Oui,2,Rubéole,Oui,3,Kit seringues,Consumable,108,108,Non,Tchinda Jules,N/A,2024-12-13,Depot Central Douala,HD Bonabéri,2024-12-15,Nguimdo Jean,52,Non,2025-02-13
32,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bonabéri,HD Bonabéri,LIT-BONA-01,2024-12-16,4.004303,9.721229,7,Moyen,Moto,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,208,Nguimdo Jean,Aide-soignant,Enregistreur,Oui,2,Rubéole,Oui,4,Carnets,Papeterie,150,56,Oui,Tchinda Jules,N/A,2024-12-15,Depot Central Douala,HD Bonabéri,2024-12-17,Nguimdo Jean,19,Non,2025-02-13
33,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bonabéri,HD Bonabéri,LIT-BONA-01,2024-03-20,4.004303,9.721229,7,Moyen,Moto,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,552,Fotsing Claire,Relais communautaire,Mobilisateur,Non,0,Polio,Non,1,Glacière,Froid,156,117,Oui,Tchinda Jules,3.6,2024-03-17,Depot Central Douala,HD Bonabéri,2024-03-18,Fotsing Claire,3,Non,2024-05-09
34,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bonabéri,HD Bonabéri,LIT-BONA-01,2024-03-20,4.004303,9.721229,7,Moyen,Moto,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,552,Fotsing Claire,Relais communautaire,Mobilisateur,Non,0,Polio,Non,2,Thermos,Froid,109,49,Non,Tchinda Jules,7.1,2024-03-17,Depot Central Douala,HD Bonabéri,2024-03-18,Fotsing Claire,14,Non,2024-05-09
35,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bonabéri,HD Bonabéri,LIT-BONA-01,2024-03-20,4.004303,9.721229,7,Moyen,Moto,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,552,Fotsing Claire,Relais communautaire,Mobilisateur,Non,0,Polio,Non,3,Kit seringues,Consumable,53,28,Non,Tchinda Jules,N/A,2024-03-17,Depot Central Douala,HD Bonabéri,2024-03-19,Fotsing Claire,7,Non,2024-05-09
36,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bonabéri,HD Bonabéri,LIT-BONA-01,2024-03-20,4.004303,9.721229,7,Moyen,Moto,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,552,Fotsing Claire,Relais communautaire,Mobilisateur,Non,0,Polio,Non,4,Carnets,Papeterie,78,20,Oui,Tchinda Jules,N/A,2024-03-17,Depot Central Douala,HD Bonabéri,2024-03-18,Fotsing Claire,16,Non,2024-05-09
37,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bonabéri,Marché Bonabéri,LIT-BONA-02,2024-12-26,4.066448,9.687068,41,Difficile,Moto,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,977,Essama Claire,Infirmier,Vaccinateur,Non,0,Rubéole,Oui,1,Glacière,Froid,163,24,Oui,Tchinda Jules,5.9,2024-12-23,Depot Central Douala,Marché Bonabéri,2024-12-24,Essama Claire,10,Non,2025-02-26
38,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bonabéri,Marché Bonabéri,LIT-BONA-02,2024-12-26,4.066448,9.687068,41,Difficile,Moto,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,977,Essama Claire,Infirmier,Vaccinateur,Non,0,Rubéole,Oui,2,Thermos,Froid,103,52,Non,Tchinda Jules,3.7,2024-12-23,Depot Central Douala,Marché Bonabéri,2024-12-25,Essama Claire,6,Non,2025-02-26
39,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bonabéri,Marché Bonabéri,LIT-BONA-02,2024-12-26,4.066448,9.687068,41,Difficile,Moto,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,977,Essama Claire,Infirmier,Vaccinateur,Non,0,Rubéole,Oui,3,Kit seringues,Consumable,118,26,Oui,Tchinda Jules,N/A,2024-12-24,Depot Central Douala,Marché Bonabéri,2024-12-25,Essama Claire,11,Non,2025-02-26
40,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bonabéri,Marché Bonabéri,LIT-BONA-02,2024-12-26,4.066448,9.687068,41,Difficile,Moto,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,977,Essama Claire,Infirmier,Vaccinateur,Non,0,Rubéole,Oui,4,Carnets,Papeterie,87,38,Oui,Tchinda Jules,N/A,2024-12-23,Depot Central Douala,Marché Bonabéri,2024-12-24,Essama Claire,22,Non,2025-02-26
41,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bonabéri,Marché Bonabéri,LIT-BONA-02,2024-03-01,4.066448,9.687068,41,Difficile,Moto,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,523,Tchinda Jules,Aide-soignant,Enregistreur,Non,0,Polio,Non,1,Glacière,Froid,173,165,Non,Tchinda Jules,2.6,2024-02-29,Depot Central Douala,Marché Bonabéri,2024-03-01,Tchinda Jules,93,Non,2024-05-03
42,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bonabéri,Marché Bonabéri,LIT-BONA-02,2024-03-01,4.066448,9.687068,41,Difficile,Moto,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,523,Tchinda Jules,Aide-soignant,Enregistreur,Non,0,Polio,Non,2,Thermos,Froid,171,25,Oui,Tchinda Jules,2.9,2024-02-28,Depot Central Douala,Marché Bonabéri,2024-02-29,Tchinda Jules,6,Non,2024-05-03
43,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bonabéri,Marché Bonabéri,LIT-BONA-02,2024-03-01,4.066448,9.687068,41,Difficile,Moto,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,523,Tchinda Jules,Aide-soignant,Enregistreur,Non,0,Polio,Non,3,Kit seringues,Consumable,101,92,Oui,Tchinda Jules,N/A,2024-02-29,Depot Central Douala,Marché Bonabéri,2024-03-01,Tchinda Jules,11,Non,2024-05-03
44,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bonabéri,Marché Bonabéri,LIT-BONA-02,2024-03-01,4.066448,9.687068,41,Difficile,Moto,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,523,Tchinda Jules,Aide-soignant,Enregistreur,Non,0,Polio,Non,4,Carnets,Papeterie,186,149,Non,Tchinda Jules,N/A,2024-02-28,Depot Central Douala,Marché Bonabéri,2024-03-01,Tchinda Jules,117,Non,2024-05-03
45,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bonabéri,Marché Bonabéri,LIT-BONA-02,2025-06-13,4.066448,9.687068,41,Difficile,Moto,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,827,Mouafo Jean,Relais communautaire,Mobilisateur,Oui,7,Rougeole,Non,1,Glacière,Froid,63,20,Oui,Tchinda Jules,4.0,2025-06-12,Depot Central Douala,Marché Bonabéri,2025-06-14,Mouafo Jean,20,Non,2025-08-14
46,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bonabéri,Marché Bonabéri,LIT-BONA-02,2025-06-13,4.066448,9.687068,41,Difficile,Moto,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,827,Mouafo Jean,Relais communautaire,Mobilisateur,Oui,7,Rougeole,Non,2,Thermos,Froid,158,118,Non,Tchinda Jules,4.4,2025-06-11,Depot Central Douala,Marché Bonabéri,2025-06-13,Mouafo Jean,23,Non,2025-08-14
47,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bonabéri,Marché Bonabéri,LIT-BONA-02,2025-06-13,4.066448,9.687068,41,Difficile,Moto,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,827,Mouafo Jean,Relais communautaire,Mobilisateur,Oui,7,Rougeole,Non,3,Kit seringues,Consumable,63,39,Oui,Tchinda Jules,N/A,2025-06-12,Depot Central Douala,Marché Bonabéri,2025-06-14,Mouafo Jean,15,Non,2025-08-14
48,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bonabéri,Marché Bonabéri,LIT-BONA-02,2025-06-13,4.066448,9.687068,41,Difficile,Moto,N/A,N/A,N/A,N/A,Actif,1,Tchinda Jules,827,Mouafo Jean,Relais communautaire,Mobilisateur,Oui,7,Rougeole,Non,4,Carnets,Papeterie,74,62,Oui,Tchinda Jules,N/A,2025-06-10,Depot Central Douala,Marché Bonabéri,2025-06-11,Mouafo Jean,61,Non,2025-08-14
49,Zone 1,ROU-062025-LIT,Littoral,Deido,Deido Urbain,CSI Deido 1,LIT-DEID-01,2025-06-19,3.923978,9.758343,6,Moyen,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,234,Ngono Paul,Infirmier,Vaccinateur,Oui,9,Rougeole,Oui,1,Glacière,Froid,140,10,Non,Tchinda Jules,6.0,2025-06-16,Depot Central Douala,CSI Deido 1,2025-06-18,Ngono Paul,4,Non,2025-08-10
50,Zone 1,ROU-062025-LIT,Littoral,Deido,Deido Urbain,CSI Deido 1,LIT-DEID-01,2025-06-19,3.923978,9.758343,6,Moyen,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,234,Ngono Paul,Infirmier,Vaccinateur,Oui,9,Rougeole,Oui,2,Thermos,Froid,163,85,Oui,Tchinda Jules,3.0,2025-06-17,Depot Central Douala,CSI Deido 1,2025-06-19,Ngono Paul,67,Non,2025-08-10
51,Zone 1,ROU-062025-LIT,Littoral,Deido,Deido Urbain,CSI Deido 1,LIT-DEID-01,2025-06-19,3.923978,9.758343,6,Moyen,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,234,Ngono Paul,Infirmier,Vaccinateur,Oui,9,Rougeole,Oui,3,Kit seringues,Consumable,139,110,Non,Tchinda Jules,N/A,2025-06-16,Depot Central Douala,CSI Deido 1,2025-06-18,Ngono Paul,99,Non,2025-08-10
52,Zone 1,ROU-062025-LIT,Littoral,Deido,Deido Urbain,CSI Deido 1,LIT-DEID-01,2025-06-19,3.923978,9.758343,6,Moyen,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,234,Ngono Paul,Infirmier,Vaccinateur,Oui,9,Rougeole,Oui,4,Carnets,Papeterie,176,27,Oui,Tchinda Jules,N/A,2025-06-17,Depot Central Douala,CSI Deido 1,2025-06-19,Ngono Paul,24,Non,2025-08-10
53,Zone 1,ROU-062025-LIT,Littoral,Deido,Deido Urbain,CSI Deido 1,LIT-DEID-01,2025-06-13,3.923978,9.758343,6,Moyen,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,359,Abena Rose,Aide-soignant,Enregistreur,Non,0,Rougeole,Oui,1,Glacière,Froid,135,83,Oui,Tchinda Jules,5.1,2025-06-12,Depot Central Douala,CSI Deido 1,2025-06-13,Abena Rose,26,Non,2025-08-03
54,Zone 1,ROU-062025-LIT,Littoral,Deido,Deido Urbain,CSI Deido 1,LIT-DEID-01,2025-06-13,3.923978,9.758343,6,Moyen,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,359,Abena Rose,Aide-soignant,Enregistreur,Non,0,Rougeole,Oui,2,Thermos,Froid,136,98,Oui,Tchinda Jules,2.1,2025-06-12,Depot Central Douala,CSI Deido 1,2025-06-14,Abena Rose,66,Non,2025-08-03
